name,search_word,lati,longi,u_time,time_mor,time_nig,s_six,s_seven,s_eight,s_nine,s_ten,s_eleven,s_twelve,s_thirteen,s_fourteen,s_fifteen,s_sixteen,s_seventeen,s_eighteen,s_nineteen,s_twenty,s_twenty_one,s_twenty_two,s_twenty_three
SOGO店,50嵐 SOGO店,25.0436356,121.5454585,10:00–21:00,10,21,0,0,0,0,69,100,61,61,92,84,76,53,84,84,76,0,0,0
八德店,50嵐 八德店,25.048518,121.559753,10:00–22:00,10,22,0,0,0,0,28,35,46,51,50,46,39,41,35,33,26,21,14,0
士東店,50嵐 士東店,25.1122931,121.5295353,10:00–22:00,10,22,0,0,0,0,53,40,46,40,66,66,26,6,13,26,40,26,0,0
士林文林店,50嵐 士林文林店,25.0896857,121.5268826,11:00–22:00,11,22,0,0,0,0,0,22,40,74,100,100,85,82,97,97,82,51,0,0
士林捷運店,50嵐 士林捷運店,25.09425506,121.52608721,10:00–22:00,10,22,0,0,0,0,19,47,77,89,77,75,82,94,100,89,66,42,0,0
大直北安店,50嵐 大直北安店,25.0811707,121.5484051,10:00–22:00,10,22,0,0,0,0,0,5,15,21,10,5,5,0,0,5,10,5,0,0
小南門店,50嵐 小南門店,25.033863,121.5073356,10:00–22:00,10,22,0,0,0,0,50,60,65,55,50,30,15,10,30,40,60,70,0,0
內湖園區店,50嵐 內湖園區店,25.0815336,121.5714672,10:00–22:00,10,22,0,0,0,0,4,8,21,17,21,13,26,21,43,39,43,56,0,0
公館店,50嵐 公館店,25.0141682,121.5334028,11:00–22:30,11,22,0,0,0,0,0,52,60,56,43,34,39,60,86,100,69,26,8,0
天母店,50嵐 天母店,25.1189617,121.5264108,10:00–22:00,10,22,0,0,0,0,27,9,27,45,72,45,27,18,36,18,9,0,0,0
文德店,50嵐 文德店,25.0783845,121.5794696,10:00–21:00,10,21,0,0,0,0,12,29,66,66,70,37,54,58,70,37,37,0,0,0
木柵店,50嵐 木柵店,24.9870824,121.5686668,10:00–22:00,10,22,0,0,0,0,16,38,35,45,32,25,38,41,51,61,61,32,0,0
木新店,50嵐 木新店,24.9819812,121.5612012,11:00–21:00,11,21,0,0,0,0,0,27,34,30,32,27,37,34,30,27,18,0,0,0
市府店,50嵐 市府店,25.04127395,121.5669088,10:00–21:00,10,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
民生店,50嵐 民生店,25.0580181,121.5542381,10:00–22:00,10,22,0,0,0,0,28,71,90,85,71,76,47,28,28,28,33,14,0,0
永吉店,50嵐 永吉店,25.0433834,121.5686001,11:00–22:30,11,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
永康店,50嵐 永康店,25.0312691,121.52938,11:00–22:00,11,22,0,0,0,0,0,44,44,44,33,27,44,44,66,50,61,66,0,0
石牌店,50嵐 石牌店,25.116766,121.516964,11:00–22:30,11,22,0,0,0,0,0,5,11,22,11,16,16,38,50,44,38,61,44,0
北投店,50嵐 北投店,25.1326535,121.4991827,11:00–22:00,11,22,0,0,0,0,0,46,78,85,82,80,80,75,75,60,36,36,0,0
北車店,50嵐 北車店,25.0465322,121.517644,10:00–22:30,10,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
北寧店,50嵐 北寧店,25.049026,121.552769,10:00–22:00,10,22,0,0,0,0,90,100,70,65,60,70,40,40,65,60,30,25,0,0
伊通店,50嵐 伊通店,25.0526938,121.5346672,11:00–21:00,11,21,0,0,0,0,0,18,18,18,27,42,48,48,42,33,27,0,0,0
合江店,50嵐 合江店,25.06002049,121.53931539,10:00–22:30,10,22,0,0,0,0,7,21,21,28,32,60,67,53,32,25,28,46,28,0
吉林店,50嵐 吉林店,25.0596898,121.5303953,11:00–19:00,11,19,0,0,0,0,0,0,45,55,60,55,40,30,25,0,0,0,0,0
同安店,50嵐 同安店,25.0243088,121.5217755,10:00–22:30,10,22,0,0,0,0,57,61,61,47,42,42,45,50,61,57,42,26,14,0
同德店,50嵐 同德店,25.045482,121.584347,11:00–20:30,11,20,0,0,0,0,0,40,51,74,59,44,37,70,77,70,29,0,0,0
西門店,50嵐 西門店,25.041821,121.507082,11:00–22:30,11,22,0,0,0,0,13,11,27,55,80,88,100,86,83,77,66,58,38,0
西寧店,50嵐 西寧店,25.0443968,121.50629953,10:00–23:00,10,23,0,0,0,0,11,17,36,44,67,71,82,69,75,86,100,90,71,0
奇岩店,50嵐 奇岩店,25.1265759,121.5013712,11:00–21:00,11,21,0,0,0,0,0,23,52,52,64,82,88,70,58,41,52,0,0,0
忠孝延吉店,50嵐 忠孝延吉店,25.0425059,121.5541424,10:00–22:00,10,22,0,0,0,0,34,44,56,62,58,72,70,80,84,90,96,82,58,0
