milkshop_name,search_word,milk_lati,milk_longi,milkshop_link,milkshop_time,milkshop_time_mor,milkshop_time_nig,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,s_six,s_seven,s_eight,s_nine,s_ten,s_eleven,s_twelve,s_thirteen,s_fourteen,s_fifteen,s_sixteen,s_seventeen,s_eighteen,s_nineteen,s_twenty,s_twenty_one,s_twenty_two,s_twenty_three
臺北101觀景店,迷客夏101,25.033944484445076,121.56476076913532,https://www.google.com.tw/maps/place/%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E4%BF%A1%E7%BE%A9%E8%B7%AF%E4%BA%94%E6%AE%B57%E8%99%9F89%E6%A8%93,10:00–21:00,10,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北公館店,迷客夏Milksha 臺北公館店,25.015744343159703,121.53227488747609,https://maps.app.goo.gl/ubc8ytbN3cGDRQi56,10:00-22:00,10,22,0,0,0,0,0,9,27,54,36,27,45,54,63,45,18,18,0,0,0,0,0,0,0,9,27,9,9,0,0,9,18,36,18,9,0,0
臺北龍山寺店,迷客夏Milksha 萬華龍山寺店,25.0354342,121.4990228,https://goo.gl/maps/Hw247bhpaaxMSpz49,10:00–22:00,10,22,0,0,0,0,22,33,22,55,33,33,77,66,100,44,22,0,0,0,0,0,0,0,11,0,22,44,100,66,55,22,33,44,88,44,0,0
臺北忠孝復興店,迷客夏 臺北忠孝復興店,25.0427031,121.5443302,https://goo.gl/maps/5yLdN6AWyDR5kAvm7?coh=178572&entry=tt,10:00–22:00,10,22,0,0,0,0,17,21,39,26,26,13,4,0,13,26,60,47,0,0,0,0,0,0,39,8,0,8,21,52,30,34,21,21,21,43,0,0
臺北東區地下街店,迷客夏Milksha 臺北東區地下街店,25.0412903,121.5516179,https://goo.gl/maps/NsT5SPkQfgoZiho39,11:00-21:30,11,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北南港站前店,迷客夏Milksha 臺北南港站前店,25.0557946,121.605967,https://goo.gl/maps/DGXMsNSxqNJTfmB56,平日10:00-21:00、假日10:00-20:00,10,21,0,0,0,0,14,45,80,100,80,68,48,57,51,40,40,0,0,0,0,0,0,0,8,17,14,17,40,48,57,37,20,14,0,0,0,0
臺北和碩店,迷客夏Milksha 臺北和碩店,25.12717695,121.47213185,https://goo.gl/maps/LajzCf96G6boMCSD8,平日：09:00-19:30 假日：休假,9,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北通化店,迷客夏Milksha 臺北通化店,25.0319744,121.5543649,https://maps.app.goo.gl/foqya9jAfUs28Z8LA,10:00～22:30,10,22,0,0,0,0,6,40,60,93,93,73,93,46,20,6,0,6,0,0,0,0,0,0,0,46,46,60,53,26,20,33,26,33,13,6,0,0
臺北景美店,迷客夏Milksha 臺北景美店,24.9931303,121.5414954,https://maps.app.goo.gl/uRdSY5Tu3ykRUyRw8,10:00-22:00,10,22,0,0,0,0,8,8,25,16,25,41,83,75,41,25,16,41,0,0,0,0,0,0,83,75,66,25,8,8,25,16,0,0,16,16,0,0
臺北中山南西店,迷客夏 臺北中山南西店,25.0515173,121.5215043,https://maps.app.goo.gl/fKRrdbsg9MAihDBX8,平日：9:00-22:00 假日：9:00-22:00,9,22,0,0,0,8,25,16,25,25,8,8,8,25,16,0,0,8,0,0,0,0,0,66,33,41,50,50,33,25,41,16,8,0,0,0,0,0
