門市名稱,地址,營業時間,座標,電話,額外服務
七堵明德店,基隆市七堵區明德一路212號一樓,06:20~21:00,"25.097184669516718, 121.71229456503163",02-2456-9338,
三峽文化店,新北市三峽區文化路152號,07:00~22:00,"24.9362918,121.3704198",02-2673-3336,
三峽中華店,新北市三峽區中華路46號,06:30~22:00,"24.93039141,121.3718504",02-8672-2352,
三峽復興店,新北市三峽區復興路369號,07:00~22:00,"24.9385559,121.3634331",02-8672-2588,
宜蘭三星店,宜蘭縣三星鄉三星路四段360號,07:00~21:00,"24.6670845,121.6553971",03-989-1798,
宜蘭大洲店,宜蘭縣三星鄉五分路二段132號,07:00~22:00,"24.6931244,121.7314949",03-954-5432,
三義中正店,苗栗縣三義鄉中正路124號,07:00~21:00,"24.4134696,120.7718451",037-870-909,
三芝中正店,新北市三芝區中正路一段50號,06:30~22:00,"25.2581994,121.5035443",02-2636-8855,
三重仁政店,新北市三重區仁政街159號,07:00~24:00,"25.0794428,121.4914164",02-2985-1500,
三重中華店,新北市三重區中華路73號,07:00~24:00,"25.0625176,121.4837476",02-8983-3557,
三重重新店,新北市三重區重新路一段100號,07:00~24:00,"25.0632998,121.5012656",02-2970-6070,
三重中正店,新北市三重區中正北路344號,07:00~23:50,"25.0692182,121.4781236",02-2985-8586,
三重仁愛店,新北市三重區分子尾街45號1樓,07:20~22:00,"25.082060932025854, 121.48935426923964",02-2984-6268,
三重自強店,新北市三重區大智街49號,07:00~23:00,"25.0676724,121.4928747",02-2987-2185,
三重三和店,新北市三重區三和路四段272號,07:20~23:50,"25.0771589,121.485445",02-2286-9585,
台中自由店,台中市中區成功路152號,07:00~23:00,"24.1409719,120.6829052",04-2223-1177,
中和圓通店,新北市中和區中正路226號,07:00~23:00,"24.9940742,121.4963226",02-2243-5779,
中和宜安店,新北市中和區宜安路65號,07:00~23:00,"24.9970682,121.5111474",02-2941-8222,
中和員山店,新北市中和區員山路220號,06:00~23:00,"25.0009994,121.4813867",02-2228-9596,麵包烘培門市
板橋民德店,新北市中和區民德路1號,06:00~00:30,"24.9933181,121.4652446",02-8951-8586,麵包烘培門市
嘉義中埔店,嘉義縣中埔鄉中華路792-794號,07:00~22:00,"23.448574496984463, 120.45898451155522",05-230-9885,
