品牌,門市名稱,座標,地址,營業時間
85度C,85度C七堵明德店,"25.097184669516718, 121.71229456503163",基隆市七堵區明德一路212號一樓,06:20~21:00
85度C,85度C三峽文化店,"24.9362918,121.3704198",新北市三峽區文化路152號,07:00~22:00
85度C,85度C三峽中華店,"24.93039141,121.3718504",新北市三峽區中華路46號,06:30~22:00
85度C,85度C三峽復興店,"24.9385559,121.3634331",新北市三峽區復興路369號,07:00~22:00
85度C,85度C宜蘭三星店,"24.6670845,121.6553971",宜蘭縣三星鄉三星路四段360號,07:00~21:00
85度C,85度C宜蘭大洲店,"24.6931244,121.7314949",宜蘭縣三星鄉五分路二段132號,07:00~22:00
85度C,85度C三義中正店,"24.4134696,120.7718451",苗栗縣三義鄉中正路124號,07:00~21:00
85度C,85度C三芝中正店,"25.2581994,121.5035443",新北市三芝區中正路一段50號,06:30~22:00
85度C,85度C三重仁政店,"25.0794428,121.4914164",新北市三重區仁政街159號,07:00~24:00
85度C,85度C三重中華店,"25.0625176,121.4837476",新北市三重區中華路73號,07:00~24:00
85度C,85度C三重重新店,"25.0632998,121.5012656",新北市三重區重新路一段100號,07:00~24:00
85度C,85度C三重中正店,"25.0692182,121.4781236",新北市三重區中正北路344號,07:00~23:50
85度C,85度C三重仁愛店,"25.082060932025854, 121.48935426923964",新北市三重區分子尾街45號1樓,07:20~22:00
85度C,85度C三重自強店,"25.0676724,121.4928747",新北市三重區大智街49號,07:00~23:00
85度C,85度C三重三和店,"25.0771589,121.485445",新北市三重區三和路四段272號,07:20~23:50
85度C,85度C台中自由店,"24.1409719,120.6829052",台中市中區成功路152號,07:00~23:00
85度C,85度C中和圓通店,"24.9940742,121.4963226",新北市中和區中正路226號,07:00~23:00
85度C,85度C中和宜安店,"24.9970682,121.5111474",新北市中和區宜安路65號,07:00~23:00
85度C,85度C中和員山店,"25.0009994,121.4813867",新北市中和區員山路220號,06:00~23:00
85度C,85度C板橋民德店,"24.9933181,121.4652446",新北市中和區民德路1號,06:00~00:30
85度C,85度C嘉義中埔店,"23.448574496984463, 120.45898451155522",嘉義縣中埔鄉中華路792-794號,07:00~22:00
85度C,85度C中壢莊敬店,"24.9675683,121.2573355",桃園市中壢區莊敬路178號,07:00~22:00
85度C,85度C中壢晉元店,"24.9509119,121.261505",桃園市中壢區晉元路201號,06:30~22:00
85度C,85度C中壢中山東店,"24.9454286,121.2473766",桃園市中壢區中山東路三段48號,07:00~22:00
85度C,85度C中壢中原店,"24.955438,121.236072",桃園市中壢區中山東路一段311號,早上06:00~凌晨01:00
85度C,85度C內壢中華店,"24.9733781,121.2589459",桃園市中壢區中華路一段218號,06:30~22:00
85度C,85度C中壢龍慈店,"24.9412805,121.2454497",桃園市中壢區後興路一段183號,07:00~22:00
85度C,85度C中壢龍岡店,"24.9308687,121.2541742",桃園市中壢區龍東路257號,06:30~22:00
85度C,85度C中壢民族店,"24.9578541,121.1666681",桃園市中壢區民族路五段461號,07:00~22:00
85度C,85度C中壢壢中店,"24.9616814,121.211409",桃園市中壢區三光路84號,07:00~22:30
85度C,85度C中壢福州店,"24.968799777157987, 121.23586876088532",桃園市中壢區中園路157號1樓,06:30~22:00
85度C,85度C中壢青埔店,"25.0072175,121.2023511",桃園市中壢區民權路四段512號,07:00-21:00
85度C,85度C內壢長春店,"24.9785651,121.2492993",桃園市中壢區長春路57號,平日 早上06:30~晚上21:00 假日 早上07:00~晚上21:00 
85度C,85度C台北吉林店,"25.0600165,121.5303673",台北市中山區吉林路201號,24小時 周一07:00開店 
85度C,85度C台北榮星店,"25.066085797621504, 121.54083694701612",台北市中山區龍江路358號1樓,07:00~24:00
85度C,85度C台北錦州店,"25.0601906,121.52461953",台北市中山區錦州街28-8號,24小時 但每周一00:00-08:00休息 
85度C,85度C基隆新豐店,"25.1359209,121.7872187",基隆市中正區新豐街300號,07:00~22:00
85度C,85度C基隆義二店,"25.1304523,121.745174",基隆市中正區信一路173號,平日早上07:00~晚上22:30，假日早上07:30~22:30
85度C,85度C台南成功店,"23.0021905,120.1948764",台南市中西區成功路515號,07:00~23:00
85度C,85度C彰化二林店,"23.8937411,120.3641443",彰化縣二林鎮大成路一段537號,07:00~22:30
85度C,85度C宜蘭五結店,"24.6842309,121.7948903",宜蘭縣五結鄉五結路三段3號,07:00~22:00
85度C,85度C五結中正店,"24.6919361,121.7701781",宜蘭縣五結鄉中正路一段210號,07:30~21:00
85度C,85度C五股成泰店,"25.08402707148036, 121.43837722327301",新北市五股區成泰路二段156號1樓,06:30~24:00
85度C,85度C五股成洲店,"25.09790113426555, 121.44988825486041",新北市五股區成泰路三段437號1樓,07:00~22:00
85度C,85度C台南仁德店,"22.9710335,120.2552054",台南市仁德區中山路479號,07:00~22:00
85度C,85度C基隆孝一店,"25.128726835262427, 121.74043742662715",基隆市仁愛區忠三路2號1樓,07:00~02:00
85度C,85度C高雄仁武店,"22.7011339,120.3540788",高雄市仁武區中華路367號,07:30~23:00
85度C,85度C彰化伸港店,"24.1513731,120.4867634",彰化縣伸港鄉新港路419號,06:30~21:45
85度C,85度C台南佳里店,"23.1585998,120.1787726",台南市佳里區延平路212號,07:30~22:00
85度C,85度C基隆東信店,"25.128695,121.760364",基隆市信義區東信路316號,平日早上07:00~晚上21:00，假日早上07:30~21:00
85度C,85度C台北莊敬店,"25.027144,121.5662461",台北市信義區莊敬路416號,07:30~22:30
85度C,85度C台北永吉店,"25.0456964,121.5753637",台北市信義區永吉路269號,07:00~23:00
85度C,85度C屏東內埔店,"22.6161507,120.565846",屏東縣內埔鄉廣濟路317號,07:00~23:30
85度C,85度C內湖文德店,"25.078442547888745, 121.57883442742742",台北市內湖區文德路2號1樓,早上06:30~晚上22:30，週日:早上06:30~晚上21:00
85度C,85度C桃園八德店,"24.9626349,121.2998626",桃園市八德區介壽路一段796號,07:00~22:00
85度C,85度C八德永豐店,"24.975255,121.2720489",桃園市八德區永豐路556號,06:30~21:00
85度C,85度C八德豐田店,"24.926855,121.2891786",桃園市八德區豐田一路26號,07:00~21:30
85度C,85度C八德介壽店,"24.9478511,121.2977396",桃園市八德區介壽路二段371號,06:30~22:00
85度C,85度C八德興豐店,"24.9374142,121.2972626",桃園市八德區介壽路二段758號,07:00~22:00
85度C,85度C八里左岸店,"25.1591253,121.4293219",新北市八里區龍米路三段2號,07:00~22:00
85度C,85度C苗栗公館店,"24.5053742,120.8269528",苗栗縣公館鄉大同路243號,06:30~21:30
85度C,85度C台南六甲店,"23.2271424,120.3515444",台南市六甲區民生街21號,06:45~22:00
85度C,85度C冬山廣興店,"24.6695835,121.7482027",宜蘭縣冬山鄉廣興路237號,07:00~21:00
85度C,85度C宜蘭冬山店,"24.6297366,121.7984882",宜蘭縣冬山鄉冬山路一段760號,07:00~21:30
85度C,85度C台南小北店,"23.0133773,120.209173",台南市北區西門路4段277號,07:00~24:00
85度C,85度C新竹東大店,"24.8402694397967, 120.9380663367209",新竹市北區東大路三段684號一樓,07:00~23:00
85度C,85度C台中健行店,"24.1593942,120.679819",台中市北區健行路480號,07:00~23:00
85度C,85度C新竹中正店,"24.8119548,120.96418",新竹市北區經國路二段102號,07:00~23:00
85度C,85度C台中北平店,"24.171346,120.6745308",台中市北區北平路2段78號,07:00~22:30
