門市類型,門市名稱,地址,營業時間,座標,電話
經典門市-,長春復興店,臺北市中山區長春路366號,"週一～週五  7:30~16:00    
例假日  8:00~16:00","25.054685, 121.542652",(02)2713-6628 鮮點預做
經典門市-,民生馬偕店,臺北市中山區民生東路一段12號,"週一~週五  7:30~18:00  
例假日  9:00~18:00","25.058019, 121.523423",(02)2568-3197
經典門市-,民生松江店,臺北市中山區民生東路二段133號,"週一～週五  7:30~18:00
週六~週日  8:00~17:30","25.058296, 121.532377",(02)2511-6393
經典門市-,大直植福店,臺北市中山區植福路308號,週一～週五  8:00～18:00,"25.081107, 121.560873",(02)8502-1518
經典門市-,中山農安店,臺北市中山區中山北路三段25-10號,"週一～週五  7:30~18:00    
例假日  9:00~18:00","25.065270, 121.522684",(02)2599-5772
經典門市-,八德台安店,臺北市松山區八德路二段358號,"週一~週五  07:30~17:00  
例假日  08:00~18:00","25.047975, 121.545850",(02)8772-1206
經典門市-,南京三民店,臺北市松山區南京東路五段141號,"週一～週五  7:30~19:30    
例假日  8:00~18:00","25.051940, 121.561685",(02)2767-1177
經典門市-,松山饒河店(捷運松山站二號出口),臺北市松山區八德路四段668號,"週一至週五  8:00-17:00
週日  9:00-17:00
每週六公休","25.050146, 121.576163",(02)2528-0007
經典門市-,民權復興店,臺北市松山區民權東路三段120號,"週一～週五  7:30~18:00  
例假日  8:00~17:30","25.062039, 121.545551",(02)2545-5220
經典門市-,森林公園店,臺北市大安區信義路三段25號,"平日    07:30~17:00    
假日    08:00~17:00","25.034042, 121.534317",(02)2700-1822
經典門市-,台北和平店,臺北市大安區和平東路三段6號,"週一~週五-  07:30-18:00
例假日-  08:00-18:00","25.024707, 121.546991",(02)2739-0918 鮮點預做
經典門市-,台北東門店,臺北市大安區信義路二段52號,"平日  07:30~19:00  
假日  08:00~18:00","25.034539, 121.525839",(02)2397-3830
經典門市-,大安信義店,臺北市大安區信義路三段174號,"平日  07:30~19:00  
假日  08:30~17:00","25.033184, 121.542090",(02)2700-8977
經典門市-,台大新館店,臺北市大安區基隆路三段155巷57號,"週一～週五  7:00~18:00    
例假日：店休","25.014854, 121.544356",(02)2378-8811
經典門市-,台北敦南店,臺北市大安區敦化南路二段5號,"週一～週五  07:30-19:00
例假日  08:00-18:00","25.032991, 121.549197",(02)2755-0006 鮮點預做
經典門市-,忠孝新生店,臺北市中正區新生南路一段90號,"週一~週五  7:30~19:00
例假日  8:00~18:00","25.040531, 121.532463",(02)3322-4588 鮮點預做
經典門市-,台北小南門,臺北市中正區廣州街10號,"週一到週五  7:30~20:00
例假日    9:00-17:00","25.035703, 121.508135",(02)2388-1609
經典門市-,延平開封店,臺北市中正區延平南路15號,"週一～週五  7:30~18:00  
例假日  8:30~18:00","25.046081, 121.510767",(02)2381-0876 鮮點預做
經典門市-,忠孝杭州店 (經典),臺北市中正區杭州南路一段1號,"週一~週五  07:30-17:00
週六  08:00-1700  /  週日公休","25.043815, 121.526963",(02)2351-2258
經典門市-,台北承德店,臺北市大同區承德路一段30號,"週一~週五07:30  ~  17:30  
週六~週日08:00  ~  17:30","25.050921, 121.516750",(02)2558-0200 鮮點預做
經典門市-,天母中山店,臺北市士林區中山北路六段41號,"平日  07:30~18:00    
假日  08:00~18:00","25.103840, 121.524616",(02)2831-0808
經典門市-,台北石牌店,臺北市北投區裕民四路3號1樓,週一~週日  07:00-16:00,"25.115851, 121.515947",(02)2822-7330
經典門市-,台北奇岩店,臺北市北投區北投路一段59號,"週一～週五  7:30~16:00    
例假日  9:00~17:00","25.126130, 121.500651",(02)2891-3319
經典門市-,台北和碩立德店B1(櫃號8),臺北市北投區立德路150-3號,"週一～週五  8:30～18:00    
例假日  公休","25.127850, 121.472431",(02)5563-2434
經典門市-,內湖成功店,臺北市內湖區成功路三段174巷46號1樓,"週一～週五  7:30~18:00    
假日  08:00~18:00","25.082091, 121.590250",(02)8792-0066 鮮點預做
