地址,緯度,經度
新北市 新莊區 建國一路55號,25.0304026,121.4346766
台北市 大安區 敦化南路二段81巷45弄21號,,
台北市 中正區 紹興南街4-1號,,
台北市 信義區 逸仙路50巷6號,,
台北市 中正區 衡陽路114號,,
台北市 中正區 延平南路214號,,
台北市 中正區 杭州南路一段153號,,
台北市 中正區 重慶南路一段77-2號,,
台北市 中正區 新生南路一段130號,,
台北市 大同區 酒泉街139號,,
台北市 中山區 松江路313巷22號之2,,
台北市 中山區 中山北路一段140巷138號(後棟),,
台北市 中山區 雙城街17-6號,,
台北市 中山區 北安路621巷49號,,
台北市 中山區 伊通街85號,,
台北市 中山區 樂群二路150號,,
台北市 中山區 民生東路二段150號,,
台北市 松山區 南京東路五段163-13號,,
台北市 松山區 敦化北路244巷35號,,
台北市 松山區 慶城街16巷10號,,
台北市 松山區 新東街33號,,
台北市 松山區 民生東路五段3號,,
台北市 松山區 南京東路五段250巷2弄19號,,
基隆市 中正區 信一路168號1樓,,
台北市 大安區 羅斯福路二段83-1號1樓,,
台北市 中正區 延平南路13號B,,
台北市 大安區 忠孝東路三段217巷4弄2號,,
台北市 大安區 光復南路102號1樓,,
台北市 大安區 瑞安街151號,,
台北市 大安區 仁愛路四段300巷13-2號,,
台北市 大安區 信義路四段28號,,
台北市 大安區 基隆路二段190-1號,,
台北市 大安區 仁愛路四段122巷4號,,
台北市 大安區 和平東路一段228號,,
台北市 萬華區 西藏路125巷5號,,
台北市 萬華區 和平西路三段143號,,
台北市 信義區 永吉路326巷50號,,
台北市 信義區 松山路562號,,
台北市 北投區 明德路119號,,
台北市 內湖區 民權東路六段72號,,
台北市 內湖區 文湖街37號,,
台北市 內湖區 成功路四段75號,,
台北市 內湖區 民權東路六段117-1號,,
台北市 內湖區 東湖路33巷8號1樓,,
台北市 內湖區 行善路62號,,
台北市 內湖區 內湖路一段285巷27弄1號,,
台北市 內湖區 堤頂大道二段239號,,
台北市 南港區 三重路19-4號1樓(南軟園區一期商店街),,
台北市 南港區 南港區中坡南路13號,,
台北市 南港區 八德路四段786號,,
台北市 文山區 景中街13號,,
台北市 文山區 興隆路三段119號,,
台北市 文山區 木新路三段177號,,
台北市 文山區 萬壽路3號1樓,,
新北市 三重區 重新路五段609巷2-1號,,
新北市 三重區 重新路三段94號,,
新北市 三重區 重新路二段12號,,
新北市 三重區 三和路二段156號1樓,,
新北市 三重區 三和路三段84號1樓,,
新北市 三重區 成功路98號,,
新北市 三重區 溪尾街175號,,
新北市 土城區 明德路一段95號,,
新北市 土城區 裕民路99號,,
新北市 土城區 中央路四段62之3號,,
新北市 中和區 連城路250號1樓 I棟A戶(遠東世紀廣場),,
新北市 中和區 中和路55號,,
新北市 中和區 中和路400巷19號,,
新北市 中和區 捷運路63號,,
新北市 中和區 大仁街19巷8號,,
新北市 中和區 建康路95號,,
新北市 中和區 景安路175-2號,,
新北市 中和區 自立路5號,,
新北市 永和區 竹林路160號,,
新北市 永和區 中山路一段271號,,
新北市 汐止區 新北市汐止區新台五路一段75號B1 編號03-04店面,,
新北市 汐止區 新台五路一段183號,,
新北市 汐止區 建成路60號,,
新北市 汐止區 中興路226號,,
新北市 板橋區 文化路一段309之37號1樓,,
新北市 板橋區 新民街43號1樓,,
新北市 板橋區 文化路二段367號,,
新北市 板橋區 南雅南路二段130號,,
新北市 板橋區 重慶路195號,,
新北市 板橋區 雨農路58號,,
新北市 淡水區 民權路38號,,
新北市 新店區 中正路244號之2,,
新北市 新店區 北新路一段321號,,
新北市 新店區 北新路三段43號,,
新北市 新莊區 立信三街12巷18號,,
新北市 樹林區 中山路一段115號,,
新北市 蘆洲區 長榮路412號,,
新北市 三峽區 學成路325號,,
新北市 瑞芳區 明燈路三段65號,,
新北市 金山區 中山路184號,,
桃園市 桃園區 中埔六街32號(中正路1115巷內),,
桃園市 桃園區 桃鶯路168-1號1樓,,
桃園市 桃園區 中山路426號,,
桃園市 桃園區 國聖一街2號,,
桃園市 龜山區 文興路108號,,
桃園市 中壢區 延平路536號,,
桃園市 中壢區 元化路303號,,
桃園市 八德區 廣福路20巷54號,,
新竹市 西區 西大路360號1-3樓,,
新竹縣 竹北市 光明一路196號,,
新竹縣 竹北市 莊敬五街38號,,
新竹縣 竹北市 縣政九路153號,,
新竹縣 竹北市 縣政二路55號,,
新竹縣 竹東鎮 長春路三段196號,,
苗栗縣 頭份市 和平路107號,,
台中市 西屯區 福康路26號,,
台中市 西屯區 河南路2段301巷72號,,
台中市 南屯區 大墩路806號,,
台中市 大甲區 育德路21號,,
彰化縣 彰化市 中興路136之1號,,
彰化縣 鹿港鎮 中山路246號,,
嘉義市 西區 博愛路二段864號1樓,,
