門市名稱,地址,營業時間,座標,電話,,親子友善空間,手沖體驗門市,座位30席以上,輕食早午餐,手做蛋糕,貝果,免費Wifi,會議型空間租借,高鐵TGO兌換
輔大烘豆概念門市,新北市 新莊區 建國一路55號,週一至週日 08:00-22:00,"25.0304026,121.4346766",02-2901-2570,,無,有,有,有,有,有,有,有,有
敦南門市,台北市 大安區 敦化南路二段81巷45弄21號,"週一至週五 7:30-17:00
週六、週日 公休","25.0305428,121.5504153",02-2755-0101,,無,無,無,有,有,有,無,無,無
華山門市,台北市 中正區 紹興南街4-1號,"周一至周五 7:30-18:00
周六8:30-15:00
周日國定假日公休","25.0436986,121.5247693",02-2321-5938,,無,無,無,有,無,有,無,無,無
逸仙門市,台北市 信義區 逸仙路50巷6號,週一至週末 7:30-16:00,"25.0404813,121.5621657",02-8780-4613,,無,無,有,有,無,無,有,無,無
寶慶門市,台北市 中正區 衡陽路114號,"週一至週五 07:00-20:00
               例假日 08:00-20:00","25.0421239,121.50992",02-2370-8538,,無,無,有,有,有,有,有,無,無
延平門市,台北市 中正區 延平南路214號,"週一至週五7:00-18:00
周末公休","25.0345149,121.5074292",02-2361-0718,,無,無,有,有,無,有,有,無,無
杭州門市,台北市 中正區 杭州南路一段153號,週一至週日 07:00-17:00,"25.035844,121.524632",02-2327-8819,,無,無,有,有,無,有,無,無,無
重慶南門市,台北市 中正區 重慶南路一段77-2號,7:30-18:00,"25.04394097,121.51341104",02-2311-4088,,無,無,有,有,有,無,有,無,無
信義新生門市,台北市 中正區 新生南路一段130號,"7:30-19:00
例假日8:00-20:00","25.0368922,121.5324694",02-2343-5831,,無,無,有,有,無,無,有,無,無
酒泉門市,台北市 大同區 酒泉街139號,週一至週日 08:00-18:00,"25.07215542,121.5142781",02-2585-2121,,無,無,有,有,無,無,有,無,無
民權門市,台北市 中山區 松江路313巷22號之2,"周一至周五7:00-16:00
周六至周日及國定假日8:00-13:00
不定期公休","25.0617363,121.5347586",02-2517-7759,,無,無,有,有,無,無,有,無,無
南西門市,台北市 中山區 中山北路一段140巷138號(後棟),週一至週日8:00-18:00,"25.0513912,121.5219954",02-2531-7138,,無,無,無,有,無,無,無,無,無
晴光門市,台北市 中山區 雙城街17-6號,"週一至週五 07:00-19:00
週六至週日 08:00-19:00","25.0652557,121.5243641",02-2599-3207,,無,無,有,有,有,有,有,無,無
大直門市,台北市 中山區 北安路621巷49號,"週一至週五 7:30-21:00
周末/例假日/寒暑假 7:30-17:00","25.082998,121.5466682",02-8509-8222,,無,無,有,有,有,無,有,無,無
伊通門市,台北市 中山區 伊通街85號,"週一至週五 08:00-18:30
               週末 公休","25.0528569,121.5349539",02-2515-6765,,無,無,有,有,有,無,無,無,無
樂群直營門市,台北市 中山區 樂群二路150號,週一至週日 07:00-18:00,"25.0797073,121.5574631",02-8502-9991,,無,無,有,有,有,有,有,無,有
民生松江門市,台北市 中山區 民生東路二段150號,"週一至週五 07:00-21:00
               週六、週日 08:00-20:00","25.0578088,121.5324104",02-2541-9655,,無,無,有,有,有,無,有,無,無
三民門市,台北市 松山區 南京東路五段163-13號,"週一至週五7:30-16:00
週六、週日公休","25.05165074,121.56263064",02-2766-1312,,無,無,無,有,無,無,有,無,無
敦北門市,台北市 松山區 敦化北路244巷35號,週一至週日 08:00-16:00,"25.0610106,121.5476657",02-2719-0500,,無,無,有,有,無,有,有,無,無
慶城門市,台北市 松山區 慶城街16巷10號,"週一至週五 07:00-21:00
               週六、週日 08:00-21:00","25.0528997,121.5456075",02-2545-2555,,無,無,無,有,有,有,無,無,無
民生圓環門市,台北市 松山區 新東街33號,週一到週日 07:00-20:00,"25.0597192,121.5657668",02-2761-6620,,無,無,有,有,有,無,有,無,無
民生光復門市,台北市 松山區 民生東路五段3號,"週一至週五 7:30-17:30
周末 8:00-17:00","25.0584466,121.5555496",02-2765-4166,,無,無,有,有,有,有,無,無,無
麥帥門市,台北市 松山區 南京東路五段250巷2弄19號,7:30-17:00,"25.0508772,121.5671283",02-2765-8808,,無,無,有,有,有,無,有,無,無
基隆信一門市,基隆市 中正區 信一路168號1樓,週一至週日 07:00-21:00,"25.1303607,121.7455431",02-2426-0083,,無,無,有,有,有,有,有,無,無
古亭門市,台北市 大安區 羅斯福路二段83-1號1樓,7:30-20:00,"25.0256389,121.5237682",02-2362-6229,,無,無,無,有,有,有,有,無,無
城中門市,台北市 中正區 延平南路13號B,"週一至週五 07:00-17:30
               例假日 09:30-17:30","25.0461283,121.5108537",02-2361-6909,,無,無,無,有,無,無,無,無,無
忠孝門市,台北市 大安區 忠孝東路三段217巷4弄2號,"8:00-17:00
周六8:00-16:00
周日及國定假日休","25.0426792,121.5398364",02-2711-7627,,無,無,無,有,無,有,無,無,無
市民門市,台北市 大安區 光復南路102號1樓,週一至週末 7:30-17:00,"25.0435581,121.5574506",02-8773-6443,,無,無,無,有,有,有,有,無,無
建國門市,台北市 大安區 瑞安街151號,"7:00-19:00
週六至週日8:00-17:00","25.0265064,121.539505",02-2704-2955,,無,無,無,有,無,有,無,無,無
國泰門市,台北市 大安區 仁愛路四段300巷13-2號,週一至週日 07:30-18:00,"25.03676626,121.55454895",02-2325-0707,,無,無,有,有,有,有,有,無,有
大安門市,台北市 大安區 信義路四段28號,"週一至週五 7:00-16:30
週六 7:30-15:30
週日 7:30-14:00","25.0331526,121.5445512",02-2707-9005,,無,無,無,有,有,有,無,無,無
六張犁門市,台北市 大安區 基隆路二段190-1號,週一至週日 07:00-19:00,"25.024113,121.5517992",02-2739-0241,,無,無,無,有,有,有,有,無,無
仁愛敦化門市,台北市 大安區 仁愛路四段122巷4號,週一至週日 7:00-17:00,"25.036923,121.5501908",02-2325-0552,,無,無,有,有,有,有,有,無,無
和平新生門市,台北市 大安區 和平東路一段228號,週一至週日 7:00-17:00,"25.02610055,121.53234432",02-2362-0860,,無,無,有,有,有,無,有,無,無
萬華西藏門市,台北市 萬華區 西藏路125巷5號,"週二至週日8:00-18:00
周一公休","25.0289608,121.5022758",02-2303-2525,,無,無,有,有,無,有,有,無,無
萬華龍山門市,台北市 萬華區 和平西路三段143號,7:30-19:00,"25.0354716,121.4989653",02-2308-2255,,無,無,無,有,有,有,有,無,無
永春概念門市,台北市 信義區 永吉路326巷50號,"週一至週五 07:00-18:00
               週六、週日及國定假日 08:00-18:00","25.043841,121.575335",02-2766-6672,,無,無,有,有,無,無,有,無,無
信義永春門市,台北市 信義區 松山路562號,週一至週五7:00-17:00 週六日08:00~17:00,"25.037355,121.578147",02-2726-2700,,無,無,有,有,有,有,有,無,無
明德直營門市,台北市 北投區 明德路119號,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00","25.1099112,121.5198946",02-2825-0613,,無,無,有,有,有,有,有,無,有
內湖三民門市,台北市 內湖區 民權東路六段72號,7:30-18:00,"25.0686608,121.5852284",02-2793-6263,,無,無,有,有,無,有,無,無,無
內湖文湖門市,台北市 內湖區 文湖街37號,週一至週日 07:00-21:00,"25.0867483,121.561604",02-2659-8613,,無,無,有,有,有,有,有,無,有
內湖成功直營門市,台北市 內湖區 成功路四段75號,"週一至週五 07:00-22:00
               週六、週日 07:30-22:00","25.0823429,121.5928832",02-8792-8631,,無,無,有,有,有,有,有,無,有
民權成功門市,台北市 內湖區 民權東路六段117-1號,"周一至週五7:00-18:00
周末7:30-18:00","25.0692842,121.5922491",02-2793-3136,,無,無,有,有,有,無,有,無,無
東湖門市,台北市 內湖區 東湖路33巷8號1樓,週一至週日 09:00-19:00,"25.0692793,121.61343276",02-2633-0225,,無,無,有,有,有,無,有,無,無
內湖行善門市,台北市 內湖區 行善路62號,7:00-17:00,"25.0570143,121.576212",02-8792-9998,,無,無,有,有,有,有,有,無,無
內湖285門市,台北市 內湖區 內湖路一段285巷27弄1號,"週一至週五 07:00-17:00
               週六、週日及國定假日 08:00-17:00","25.0832614,121.5670001",02-2799-7335,,無,無,無,有,無,無,有,無,無
內湖堤頂門市,台北市 內湖區 堤頂大道二段239號,週一至週日 7:30-17:00,"25.07819535,121.5668962",02-2656-1828,,無,無,有,有,有,無,有,無,無
南港門市,台北市 南港區 三重路19-4號1樓(南軟園區一期商店街),"週一至週五 7:30-16:30
               週末 公休","25.05675741,121.6134277",02-2655-1828,,無,無,有,有,無,無,無,無,無
後山埤門市,台北市 南港區 南港區中坡南路13號,"平日 07:30-21:00
               假日 07:30-20:00","25.0436294,121.5827789",02-2785-5032,,無,無,有,有,有,無,有,無,無
松山站前門市,台北市 南港區 八德路四段786號,"週一至週五 8:00-18:00
周六 9:00-17:00
周日公休","25.0505038,121.5804575",02-2788-9298,,無,無,有,有,無,無,有,無,無
景美門市,台北市 文山區 景中街13號,週一至週日 07:00-15:00,"24.9930484,121.5418899",02-2934-2580,,無,無,無,有,無,有,有,無,無
萬芳醫院門市,台北市 文山區 興隆路三段119號,"週一、週四及週日 07:00-21:00
               週五至週六 07:00-21:30","24.9989956,121.5581797",02-2239-3838,,無,無,有,有,有,有,有,無,無
木新門市,台北市 文山區 木新路三段177號,7:00-18:00,"24.9815555,121.5605102",02-2938-8115,,無,無,有,有,有,無,有,無,無
政大門市,台北市 文山區 萬壽路3號1樓,"週一至週五7:30-20:00
週六、日8:00-17:00","24.9878718,121.5757797",02-2234-3880,,無,無,有,有,有,無,有,無,無
三重旗艦門市,新北市 三重區 重新路五段609巷2-1號,"週一至週五7:30-17:30
例假日公休","25.045665,121.468142",02-2278-2322,,無,無,有,有,有,有,有,無,無
三重重新門市,新北市 三重區 重新路三段94號,7:00-21:00,"25.0605287,121.4929779",02-2978-8711,,無,無,無,有,有,無,有,無,無
台北橋門市,新北市 三重區 重新路二段12號,"週一至週五 07:30-19:00
 週六、週日 07:30-18:00","25.0626752,121.49953679",02-2970-6008,,無,無,有,有,有,有,有,無,無
三重三和門市,新北市 三重區 三和路二段156號1樓,8:00-20:00,"25.06842999,121.4993814",02-2972-1205,,無,無,有,有,無,有,無,無,無
三重龍門門市,新北市 三重區 三和路三段84號1樓,"週一至週五 07:00-21:00
               週六、週日及國定假日 08:00-17:00","25.0717278,121.4944751",02-8988-1083,,無,無,有,有,有,有,有,無,無
三重成功門市,新北市 三重區 成功路98號,平日07:30-16:30 假日08:00-18:00,"25.0512599,121.487816",02-2976-2098,,無,無,有,有,有,有,有,無,無
三重溪尾門市,新北市 三重區 溪尾街175號,週一至週末 7:00-20:00,"25.08037662,121.48890204",02-8982-7722,,無,無,有,有,有,有,有,無,無
