门市名称,星期一,星期二,星期三,星期四,星期五,星期六,星期日
土城大潤發門市,星期一、10:00 到 21:30;,星期二、10:00 到 21:30. ,星期三、10:00 到 21:30;,星期四、10:00 到 21:30;,星期五、10:00 到 21:30;,星期六、09:30 到 21:30;,星期日、09:30 到 21:30;
學勤北大門市,星期一、06:30 到 21:30;,星期二、06:30 到 21:30. ,星期三、06:30 到 21:30;,星期四、06:30 到 21:30;,星期五、06:30 到 21:30;,星期六、06:30 到 21:30;,星期日、06:30 到 21:30;
樹林中山門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
三峽學成門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
土城日月光門市,星期一、11:00 到 21:30;,星期二、11:00 到 21:30. ,星期三、11:00 到 21:30;,星期四、11:00 到 21:30;,星期五、11:00 到 22:00;,星期六、09:00 到 22:00;,星期日、09:00 到 21:30;
樹林秀泰門市,星期一、08:00 到 22:00;,星期二、08:00 到 22:00. ,星期三、08:00 到 22:00;,星期四、08:00 到 22:00;,星期五、08:00 到 22:00;,星期六、08:00 到 22:00;,星期日、08:00 到 22:00;
土城門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、08:00 到 21:00;,星期日、08:00 到 21:00;
亞東門市,星期一、06:30 到 19:00;,星期二、06:30 到 19:00. ,星期三、06:30 到 19:00;,星期四、06:30 到 19:00;,星期五、06:30 到 19:00;,星期六、06:30 到 19:00;,星期日、06:30 到 17:00;
土城金城門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
板橋遠科門市,星期一、07:30 到 18:00;,星期二、07:30 到 18:00. ,星期三、07:30 到 18:00;,星期四、07:30 到 18:00;,星期五、07:30 到 18:00;,星期六、休息;,星期日、休息;
鶯歌門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 20:30;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
龜山迴龍門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
板橋忠孝門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、06:30 到 21:00;,星期日、06:30 到 21:00;
板中門市,星期一、06:30 到 22:00;,星期二、06:30 到 22:00. ,星期三、06:30 到 22:00;,星期四、06:30 到 22:00;,星期五、06:30 到 22:00;,星期六、06:30 到 22:00;,星期日、06:30 到 22:00;
新莊雙鳳門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:30 到 21:30;,星期日、07:30 到 21:30;
遠百中山門市,星期一、11:00 到 22:00;,星期二、11:00 到 22:00. ,星期三、11:00 到 22:00;,星期四、11:00 到 22:00;,星期五、11:00 到 22:00;,星期六、11:00 到 22:00;,星期日、11:00 到 22:00;
板橋車站門市,星期一、06:00 到 22:30;,星期二、06:00 到 22:30. ,星期三、06:00 到 22:30;,星期四、06:00 到 22:30;,星期五、06:00 到 22:30;,星期六、06:00 到 22:30;,星期日、06:00 到 22:30;
板站1F門市,星期一、07:00 到 22:00;,星期二、07:00 到 22:00. ,星期三、07:00 到 22:00;,星期四、07:00 到 22:00;,星期五、07:00 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 22:00;
板橋大遠百門市,星期一、09:00 到 22:00;,星期二、09:00 到 22:00. ,星期三、09:00 到 22:00;,星期四、09:00 到 22:00;,星期五、09:00 到 22:00;,星期六、11:00 到 22:00;,星期日、11:00 到 22:00;
板大遠百9F門市,星期一、11:00 到 22:00;,星期二、11:00 到 22:00. ,星期三、11:00 到 22:00;,星期四、11:00 到 22:00;,星期五、11:00 到 22:00;,星期六、11:00 到 22:00;,星期日、11:00 到 22:00;
環球門市,星期一、10:30 到 22:00;,星期二、10:30 到 22:00. ,星期三、10:30 到 22:00;,星期四、10:30 到 22:00;,星期五、10:30 到 22:00;,星期六、10:30 到 22:00;,星期日、10:30 到 22:00;
新莊尚德門市,星期一、07:30 到 18:00;,星期二、07:30 到 18:00. ,星期三、07:30 到 18:00;,星期四、07:30 到 18:00;,星期五、07:30 到 18:00;,星期六、08:00 到 18:00;,星期日、08:00 到 18:00;
中和遠科門市,星期一、07:30 到 18:00;,星期二、07:30 到 18:00. ,星期三、07:30 到 18:00;,星期四、07:30 到 18:00;,星期五、07:30 到 18:00;,星期六、休息;,星期日、休息;
板橋新海門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
中科門市,星期一、07:00 到 20:00;,星期二、07:00 到 20:00. ,星期三、07:00 到 20:00;,星期四、07:00 到 20:00;,星期五、07:00 到 20:00;,星期六、08:00 到 18:00;,星期日、08:00 到 18:00;
板橋新埔門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:30 到 21:30;,星期日、07:30 到 21:30;
立言門市,星期一、07:00 到 17:00;,星期二、07:00 到 17:00. ,星期三、07:00 到 17:00;,星期四、07:00 到 17:00;,星期五、07:00 到 17:00;,星期六、休息;,星期日、休息;
龜山萬壽門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
雙和醫院門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 17:00;,星期日、09:00 到 17:00;
板橋新巨蛋門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 22:00;,星期六、07:30 到 22:00;,星期日、07:30 到 21:30;
板橋萬板門市,星期一、07:30 到 20:00;,星期二、07:30 到 20:00. ,星期三、07:30 到 20:00;,星期四、07:30 到 20:00;,星期五、07:30 到 20:00;,星期六、07:30 到 20:00;,星期日、07:30 到 20:00;
新莊中正門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
桃園美光門市,星期一、07:30 到 17:30;,星期二、07:30 到 17:30. ,星期三、07:30 到 17:30;,星期四、07:30 到 17:30;,星期五、07:30 到 17:30;,星期六、休息;,星期日、休息;
桃鶯門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:30 到 21:00;,星期日、07:30 到 21:00;
中和連城門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
新莊新泰門市,星期一、07:00 到 20:30;,星期二、07:00 到 20:30. ,星期三、07:00 到 20:30;,星期四、07:00 到 20:30;,星期五、07:00 到 20:30;,星期六、07:00 到 20:30;,星期日、07:00 到 20:30;
板雙門市,星期一、07:00 到 22:00;,星期二、07:00 到 22:00. ,星期三、07:00 到 22:00;,星期四、07:00 到 22:00;,星期五、07:00 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 22:00;
中和景安門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
泰山明志門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
桃園台鐵門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
南勢角門市,星期一、06:30 到 22:00;,星期二、06:30 到 22:00. ,星期三、06:30 到 22:00;,星期四、06:30 到 22:00;,星期五、06:30 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 22:00;
桃園遠百門市,星期一、10:00 到 21:30;,星期二、10:00 到 21:30. ,星期三、10:00 到 21:30;,星期四、10:00 到 21:30;,星期五、10:00 到 22:00;,星期六、09:30 到 22:00;,星期日、09:30 到 21:30;
新莊門市,星期一、07:00 到 22:00;,星期二、07:00 到 22:00. ,星期三、07:00 到 22:00;,星期四、07:00 到 22:00;,星期五、07:00 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 22:00;
桃園成功門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:30 到 21:30;,星期日、07:30 到 21:30;
廣達門市,星期一、07:00 到 17:30;,星期二、07:00 到 17:30. ,星期三、07:00 到 17:30;,星期四、07:00 到 17:30;,星期五、07:00 到 17:30;,星期六、休息;,星期日、休息;
二重門市,星期一、10:00 到 21:00;,星期二、10:00 到 21:00. ,星期三、10:00 到 21:00;,星期四、10:00 到 21:00;,星期五、10:00 到 21:00;,星期六、10:00 到 21:00;,星期日、09:30 到 21:00;
雙和門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 21:30;
桃園春日門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
八德介壽門市,星期一、08:00 到 22:00;,星期二、08:00 到 21:30. ,星期三、08:00 到 22:00;,星期四、08:00 到 22:00;,星期五、08:00 到 22:00;,星期六、08:00 到 22:00;,星期日、08:00 到 22:00;
永和永安門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
八德大潤發門市,星期一、07:30 到 21:30;,星期二、07:30 到 21:30. ,星期三、07:30 到 21:30;,星期四、07:30 到 21:30;,星期五、07:30 到 21:30;,星期六、07:30 到 21:30;,星期日、07:30 到 21:30;
新莊思源門市,星期一、07:00 到 22:00;,星期二、07:00 到 22:00. ,星期三、07:00 到 22:00;,星期四、07:00 到 22:00;,星期五、07:00 到 22:00;,星期六、07:00 到 22:00;,星期日、07:00 到 22:00;
永和愛買門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
