门市名称,地址,营业时间,座标,附加服务
土城大潤發門市,新北市土城區永安街25號1F,星期一、星期二、星期三、星期四、星期五 10:00~21:30，星期六、星期日 09:30~21:30,"(24.963868, 121.433817)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
學勤北大門市,新北市樹林區大雅路288號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.947724, 121.379658)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
樹林中山門市,新北市樹林區中山路一段157號 (近立人街口),星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.98881, 121.422057)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
三峽學成門市,新北市三峽區學成路317號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.944194, 121.377258)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
土城日月光門市,新北市土城區學府路二段210號1F,星期一、星期二、星期三、星期四 11:00~21:30，星期五 11:00~22:00，星期六 09:00~22:00，星期日 09:00~21:30,"(24.978648, 121.444178)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
樹林秀泰門市,新北市樹林區樹新路40-6號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~22:00,"(24.995954, 121.428374)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
土城門市,新北市土城區青雲路152號1樓,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 08:00~21:00,"(24.983447, 121.458953)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
亞東門市,新北市板橋區南雅南路二段21號,星期一、星期二、星期三、星期四、星期五、星期六 06:30~19:00，星期日 06:30~17:00,"(24.997202, 121.452633)",Starbucks Wi-Fi 無線上網
土城金城門市,新北市土城區金城路三段11號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.986244, 121.464627)","Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
板橋遠科門市,新北市板橋區遠東路1號,星期一、星期二、星期三、星期四、星期五 07:30~18:00,"(24.998824, 121.456753)",Starbucks Wi-Fi 無線上網
鶯歌門市,新北市鶯歌區育英街67號,星期一、星期二、星期四、星期五、星期六、星期日 07:00~21:00，星期三 07:00~20:30,"(24.952209, 121.347283)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
龜山迴龍門市,桃園市龜山區萬壽路一段166號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.018229, 121.405533)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
板橋忠孝門市,新北市板橋區忠孝路 31號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(25.001995, 121.460715)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
板中門市,新北市板橋區中山路一段15號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00,"(25.008359, 121.460222)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新莊雙鳳門市,新北市新莊區中正路702號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30,"(25.026522, 121.417619)","Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
遠百中山門市,新北市板橋區中山路一段152號2F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00,"(25.010995, 121.464621)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
板橋車站門市,新北市板橋區縣民大道二段7號B1(近台鐵及高鐵入口處),星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:00~22:30,"(25.0140513, 121.463815)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
板站1F門市,新北市板橋區縣民大道二段7號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.014311, 121.463632)","Nitro Cold Brew 氮氣冷萃咖啡, Pour Over 手沖咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
板橋大遠百門市,新北市板橋區新站路28號2樓,星期一、星期二、星期三、星期四、星期五 09:00~22:00，星期六、星期日 11:00~22:00,"(25.013513, 121.466497)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
板大遠百9F門市,新北市板橋區新站路28號9樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00,"(25.014019, 121.467570)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
環球門市,新北市中和區中山路三段122號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 10:30~22:00,"(25.007027, 121.475136)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新莊尚德門市,新北市新莊區中正路518號,星期一、星期二、星期三、星期四、星期五 07:30~18:00，星期六、星期日 08:00~18:00,"(25.032059, 121.432144)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
中和遠科門市,新北市中和區連城路268號1樓,星期一、星期二、星期三、星期四、星期五 07:30~18:00,"(24.996863, 121.486521)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
