name,search_word,lati,longi,u_time,time_mor,time_nig,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three
SOGO店,50嵐 SOGO店,25.0436356,121.5454585,10:00–21:00,10,21,0,0,0,0,76,84,46,38,23,15,23,46,61,46,38,0,0,0
八德店,50嵐 八德店,25.048518,121.559753,10:00–22:00,10,22,0,0,0,0,41,64,83,69,57,50,53,60,66,53,33,17,0,0
士東店,50嵐 士東店,25.1122931,121.5295353,10:00–22:00,10,22,0,0,0,0,60,53,80,66,60,33,20,6,0,6,13,13,0,0
士林文林店,50嵐 士林文林店,25.0896857,121.5268826,11:00–22:00,11,22,0,0,0,0,0,37,68,80,77,60,57,48,57,68,74,85,0,0
士林捷運店,50嵐 士林捷運店,25.09425506,121.52608721,10:00–22:00,10,22,0,0,0,0,14,24,45,49,47,45,57,75,80,77,57,38,0,0
大直北安店,50嵐 大直北安店,25.0811707,121.5484051,10:00–22:00,10,22,0,0,0,0,0,0,5,5,5,21,42,42,21,15,26,21,0,0
小南門店,50嵐 小南門店,25.033863,121.5073356,10:00–22:00,10,22,0,0,0,0,55,45,75,50,55,35,20,20,40,40,45,30,0,0
內湖園區店,50嵐 內湖園區店,25.0815336,121.5714672,10:00–22:00,10,22,0,0,0,0,34,39,47,30,34,39,39,21,21,21,39,26,0,0
公館店,50嵐 公館店,25.0141682,121.5334028,11:00–22:30,11,22,0,0,0,0,0,30,65,43,52,52,69,65,43,30,13,17,8,0
天母店,50嵐 天母店,25.1189617,121.5264108,10:00–22:00,10,22,0,0,0,0,0,9,18,9,9,18,54,45,63,54,36,18,0,0
文德店,50嵐 文德店,25.0783845,121.5794696,10:00–21:00,10,21,0,0,0,0,12,29,62,54,54,33,33,25,41,45,37,0,0,0
木柵店,50嵐 木柵店,24.9870824,121.5686668,10:00–22:00,10,22,0,0,0,0,74,38,12,9,19,19,25,35,35,25,29,19,0,0
木新店,50嵐 木新店,24.9819812,121.5612012,11:00–21:00,11,21,0,0,0,0,30,60,83,58,27,11,16,18,23,18,16,0,0,0
市府店,50嵐 市府店,25.04127395,121.5669088,10:00–21:00,10,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
民生店,50嵐 民生店,25.0580181,121.5542381,10:00–22:00,10,22,0,0,0,0,14,14,28,23,19,9,14,23,42,57,47,47,0,0
永吉店,50嵐 永吉店,25.0433834,121.5686001,11:00–22:30,11,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
永康店,50嵐 永康店,25.0312691,121.52938,11:00–22:00,11,22,0,0,0,0,0,27,66,77,88,66,72,66,61,38,44,27,0,0
石牌店,50嵐 石牌店,25.116766,121.516964,11:00–22:30,11,22,0,0,0,0,22,33,33,33,27,22,27,16,16,22,11,16,33,0
北投店,50嵐 北投店,25.1326535,121.4991827,11:00–22:00,11,22,0,0,0,0,0,31,58,60,51,41,53,65,65,70,65,51,0,0
北車店,50嵐 北車店,25.0465322,121.517644,10:00–22:30,10,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
北寧店,50嵐 北寧店,25.049026,121.552769,10:00–22:00,10,22,0,0,0,0,20,25,20,40,65,80,80,75,65,40,45,35,0,0
伊通店,50嵐 伊通店,25.0526938,121.5346672,11:00–21:00,11,21,0,0,0,0,15,36,45,45,30,27,15,24,42,42,18,0,0,0
合江店,50嵐 合江店,25.06002049,121.53931539,10:00–22:30,10,22,0,0,0,0,25,35,46,39,39,14,14,25,32,32,21,14,7,0
吉林店,50嵐 吉林店,25.0596898,121.5303953,11:00–19:00,11,19,0,0,0,0,0,25,30,50,25,15,5,5,5,15,5,0,0,0
同安店,50嵐 同安店,25.0243088,121.5217755,10:00–22:30,10,22,0,0,0,0,61,80,71,38,14,14,28,47,45,47,38,40,26,0
同德店,50嵐 同德店,25.045482,121.584347,11:00–20:30,11,20,0,0,0,0,0,44,62,59,59,44,48,48,62,70,62,0,0,0
西門店,50嵐 西門店,25.041821,121.507082,11:00–22:30,11,22,0,0,0,0,19,19,27,19,25,11,19,47,86,91,69,36,19,0
西寧店,50嵐 西寧店,25.0443968,121.50629953,10:00–23:00,10,23,0,0,0,0,21,23,34,44,40,36,30,28,32,44,53,50,40,0
奇岩店,50嵐 奇岩店,25.1265759,121.5013712,11:00–21:00,11,21,0,0,0,0,17,35,41,23,23,11,11,23,41,41,64,0,0,0
忠孝延吉店,50嵐 忠孝延吉店,25.0425059,121.5541424,10:00–22:00,10,22,0,0,0,0,38,58,68,70,60,58,48,46,46,40,24,16,0,0
承德店,50嵐 承德店,25.050411,121.516677,10:00–22:00,10,22,0,0,0,0,0,0,7,15,38,15,15,7,38,38,76,46,0,0
昆陽店,50嵐 南京三民店,25.0531024,121.560708,10:00–22:00,10,22,0,0,0,0,50,50,50,56,62,87,43,37,56,93,87,75,0,0
昆陽遠東店,50嵐 昆陽遠東店,25.054024,121.59221,11:00–22:30,11,22,0,0,0,0,6,12,37,43,56,50,62,93,87,62,56,43,25,0
昌吉店,50嵐 昌吉店,25.0659901,121.516675,10:00–22:00,10,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
東湖二店,50嵐 東湖二店,25.068158,121.61728,10:00–22:00,10,22,0,0,0,0,0,8,8,25,16,16,33,58,33,25,16,50,0,0
東湖店,50嵐 東湖店,25.0718807,121.6086873,10:00–22:00,10,22,0,0,0,0,0,0,5,17,23,47,47,58,70,76,41,29,0,0
松山店,50嵐 松山店,25.037122,121.578397,10:00–22:00,10,22,0,0,0,0,38,52,50,34,36,36,50,56,58,56,46,26,0,0
長春店,50嵐 長春店,25.054378,121.5464934,11:00–21:30,11,21,0,0,0,0,12,30,61,69,48,35,38,48,51,38,23,7,0,0
信陽店,50嵐 信陽店,25.044775,121.516427,11:00–20:00,11,20,0,0,0,0,15,31,43,49,46,50,50,52,46,27,0,0,0,0
南西店,50嵐 南西店,25.0520224,121.5214972,10:00–22:00,10,22,0,0,0,0,0,8,25,25,16,8,0,8,0,0,0,0,0,0
南港園區店,50嵐 南港園區店,25.0554834,121.61369,11:00–21:30,11,21,0,0,0,0,14,17,35,53,42,21,25,28,35,42,35,17,0,0
南機場店,50嵐 南機場店,25.028717,121.5057135,11:00–22:30,11,22,0,0,0,0,0,8,8,13,34,43,34,13,4,0,8,26,56,0
政大店,50嵐 政大店,24.9879412,121.5747287,10:00–22:00,10,22,0,0,0,0,10,40,60,40,30,40,60,60,20,30,50,70,0,0
重慶店,50嵐 重慶店,25.052535,121.5139255,11:00–22:00,11,22,0,0,0,0,20,29,33,41,20,12,16,29,29,37,33,33,0,0
莊敬店,50嵐 莊敬店,25.0273449,121.56552,11:00–22:00,11,22,0,0,0,0,0,63,73,56,60,60,60,46,46,26,23,23,0,0
通化店,50嵐 通化店,25.029368,121.5540879,11:00–22:00,11,22,0,0,0,0,14,28,28,42,21,14,14,14,21,21,28,35,0,0
捷運善導寺店,50嵐 捷運善導寺店,25.0449151,121.5238661,10:00–22:00,10,22,0,0,0,0,27,60,85,63,50,40,57,73,77,62,27,8,0,0
萬隆店,50嵐 萬隆店,25.0021686,121.5391303,10:30–22:00,10,22,0,0,0,0,20,41,60,60,54,54,52,60,67,54,50,38,0,0
開封店,50嵐 開封店,25.0461185,121.5138822,11:00–21:00,11,21,0,0,0,0,0,11,16,27,22,27,27,66,55,44,55,0,0,0
復興店,50嵐 復興店,25.0272958,121.5432742,10:00–22:00,10,22,0,0,0,0,0,7,7,23,26,46,50,53,65,61,61,50,0,0
晴光店,50嵐 晴光店,25.0648279,121.525104,11:00–19:00,11,19,0,0,0,0,0,18,31,43,25,37,31,56,31,18,18,0,0,0
新生店,50嵐 新生店,25.0413767,121.5325741,10:00–22:30,10,22,0,0,0,0,25,29,45,66,54,58,58,58,54,58,66,50,41,0
新東店,50嵐 新東店,25.0592075,121.5661594,11:00–22:00,11,22,0,0,0,0,25,18,18,25,31,12,12,25,50,50,43,18,0,0
瑞光店,50嵐 瑞光店,25.06877,121.5862405,10:00–22:00,10,22,0,0,0,0,16,32,41,42,37,30,35,48,58,64,55,35,0,0
實踐店,50嵐 實踐店,25.083095,121.5464509,11:00–22:30,11,22,0,0,0,0,21,7,0,7,0,0,7,21,50,57,50,21,7,0
寧波店,50嵐 寧波店,25.0309349,121.517759,10:00–22:00,10,22,0,0,0,0,60,90,100,81,51,39,37,37,43,42,34,32,0,0
